From,To,"Reactance
(p.u.)","Capacity
(MVA)",From,To,"Reactance
(p.u.)","Capacity
(MVA)"
1,2,0.0146,175,11,13,0.0488,500
1,3,0.2253,175,11,14,0.0426,500
1,5,0.0907,350,12,13,0.0488,500
2,4,0.1356,175,12,23,0.0985,500
2,6,0.205,175,13,23,0.0884,500
3,9,0.1271,175,14,16,0.0594,500
3,24,0.084,400,15,16,0.0172,500
4,9,0.111,175,15,21,0.0249,1000
5,10,0.094,350,15,24,0.0529,500
6,10,0.0642,175,16,17,0.0263,500
7,8,0.0652,350,16,19,0.0234,500
8,9,0.1762,175,17,18,0.0143,500
8,10,0.1762,175,17,22,0.1069,500
9,11,0.084,400,18,21,0.0132,1000
9,12,0.084,400,19,20,0.0203,1000
10,11,0.084,400,20,23,0.0112,1000
10,12,0.084,400,21,22,0.0692,500